Brand,Model,Type,Manufactured_year,Distance(km),Engine(cc),Price
Bajaj,Bajaj Discover 125 . 2018,Motorbikes,2018,34500,125,92000
Bajaj,Bajaj Pulsar 150 2017,Motorbikes,2017,33000,150,110000
Bajaj,Bajaj Discover 125 . 2013,Motorbikes,2013,35000,125,75000
Bajaj,Bajaj Discover . 2022,Motorbikes,2022,5500,110,121000
Bajaj,Bajaj Discover 100 10 years papers 2012,Motorbikes,10,50000,100,58000
Bajaj,Bajaj Discover ontest 2019,Motorbikes,2019,24000,110,80000
Bajaj,Bajaj Discover Anty skid breaking 2020,Motorbikes,2020,16605,125,107500
Bajaj,Bajaj Pulsar 150 . 2023,Motorbikes,2023,12000,150,195000
Bajaj,Bajaj Pulsar 150 . 2014,Motorbikes,2014,90000,150,100000
Bajaj,Bajaj Discover ফ্রেশ কন্ডিশন 2020,Motorbikes,2020,12000,110,95000
Bajaj,Bajaj CT 100 DRUM 2015,Motorbikes,2015,20000,100,65000
Bajaj,Bajaj Pulsar 150 . 2014,Motorbikes,2014,45000,150,80000
Bajaj,Bajaj Discover 125 . 2010,Motorbikes,2010,10000,125,55000
Bajaj,Bajaj Avenger 160 . 2021,Motorbikes,2021,7000,160,230000
Bajaj,Bajaj Platina . 2019,Motorbikes,2019,45000,100,67000
Bajaj,Bajaj Boxer . 2023,Motorbikes,2023,50000,100,32000
Bajaj,Bajaj Discover . 2023,Motorbikes,2023,5500,110,135000
Bajaj,Bajaj Discover 125 . 2010,Motorbikes,2010,35227,125,58000
Bajaj,Bajaj CT 100 . 2010,Motorbikes,2010,80,100,38000
Bajaj,Bajaj Pulsar 150 ON-TEST 2022,Motorbikes,2022,8147,150,162450
Bajaj,Bajaj Discover 125 3D ON-TEST 2023,Motorbikes,2023,2147,125,129500
Bajaj,Bajaj Discover 125 ডিসকোভার ১২৫ সিবিএস। 2020,Motorbikes,১২৫,12000,125,110000
Bajaj,Bajaj Pulsar 150 Single Disk 2018,Motorbikes,2018,28682,150,126999
Bajaj,Bajaj Vespa . 1998,Motorbikes,1998,35000,150,38000
Bajaj,Bajaj Pulsar 150 . 2018,Motorbikes,2018,30000,1500,125000
Bajaj,Bajaj Discover 125 . 2008,Motorbikes,2008,85000,125,55000
Bajaj,Bajaj Discover 100 . 2013,Motorbikes,2013,22000,100,80000
Bajaj,Bajaj Pulsar 150 . 2012,Motorbikes,2012,45000,150,76000
Bajaj,Bajaj Platina ES 2021,Motorbikes,2021,24000,100,74000
Bajaj,Bajaj Pulsar NS DD 2019,Motorbikes,2019,23000,160,129000
Bajaj,Bajaj Pulsar 150 . 2011,Motorbikes,2011,30500,150,74500
